Model,Plausible@1 Defects4J,Plausible@1 Defects4J (No Gemini Sources),Plausible@1 GitBugJava,Plausible@1 GitBugJava (No Gemini Sources),Chi-Squared p-value Defect4j,Chi-Squared p-value GitBugJava
mistral-large-2411,0.252,0.192,0.158,0.135,8.307092807467439e-07,0.29678897176702135
claude-3-5-sonnet-20241022,0.441,0.365,0.297,0.265,7.317690197779172e-08,0.24981433454489962
gemini-1.5-pro-001,0.303,0.244,0.167,0.113,5.963028981315531e-06,0.010764781856914181
deepseek-v2.5,0.266,0.23,0.176,0.146,0.005518245358516278,0.18451370342340925
gpt-4o-2024-08-06,0.341,0.27,0.188,0.152,1.0132162693320615e-07,0.11950092995497065
qwq-32b-preview,0.117,0.096,0.145,0.119,0.018286184698059576,0.21589795400927309
o1-preview-2024-09-12,,,0.323,0.248,,0.004828809877246265
grok-2-1212,0.31,0.243,0.18,0.157,1.8751376681727805e-07,0.3127858582825641
llama-3.3-70b-instruct,0.234,0.199,0.171,0.141,0.003613246132883816,0.1812512297465439
qwen-2.5-coder-32b-instruct,0.271,0.225,0.138,0.124,0.0003533263111294087,0.5301327886425797
deepseek-r1-distill-llama-70b,0.221,0.195,0.138,0.115,0.027585899174948813,0.27805617453486176
mistral-small-2501,,,0.072,,,
deepseek-r1-distill-qwen-32b,0.214,0.174,0.111,0.104,0.0006458861167211587,0.7741927203216963
codestral-2405,0.177,0.14,0.093,0.087,0.0005286954839416126,0.7741510867522428
llama-3.1-405b-instruct,0.289,0.259,0.167,0.152,0.01807383617591092,0.542617512270579
claude-3-5-sonnet-20240620,0.415,0.298,0.261,0.23,3.7720597890816197e-17,0.24251755267102526
qwen-2.5-72b-instruct,0.255,0.216,0.173,0.165,0.0018751106865887586,0.7854521056636128
gemini-1.5-pro-002,0.364,0.295,0.159,0.107,2.711603611533173e-07,0.011032912087048213
mistral-large-2407,0.245,0.194,0.152,0.107,2.5515877083250963e-05,0.02527367978604395
gpt-4o-2024-11-20,0.35,0.289,0.198,0.176,6.061675534859339e-06,0.3730104724340729
llama-3.1-nemotron-70b-instruct,0.228,0.192,0.138,0.12,0.0026412206731548094,0.39246851018010664
o3-mini-2025-01-31-high,0.488,0.459,0.334,0.296,0.04414593514813466,0.16514231601400492
deepseek-v3,0.399,0.33,0.223,0.215,7.570836976729794e-07,0.7853224705470311
gemini-2.0-flash-001,0.33,0.286,0.167,0.107,0.0011096862703951118,0.0038767048524706313
codestral-2501,0.198,0.173,0.129,0.113,0.025923432745688386,0.4513885808100314
claude-3-haiku-20240307,,,0.108,0.078,,0.10156880183118437
deepseek-r1,0.475,0.411,0.327,0.257,7.800961182803285e-06,0.009298104813333293
